cuentaKey;cuentaId;codigoCuenta;nombreCuenta;tipoCuenta;grupoCuenta;descripcionCuenta
1;44;101701;Transferencia de liquidez;asset_current;asset;Sin Descripcion
2;45;101000;Activos circulantes;asset_current;asset;Sin Descripcion
3;46;110100;Valoración de acciones;asset_current;asset;Sin Descripcion
4;47;110200;Stock provisional (recibido);asset_current;asset;Sin Descripcion
5;48;110300;Stock provisional (entregado);asset_current;asset;Sin Descripcion
6;49;121000;Cuentas por cobrar;asset_receivable;asset;Sin Descripcion
7;50;121100;Productos a recibir;asset_current;asset;Sin Descripcion
8;51;131000;Impuesto pagado;asset_current;asset;Sin Descripcion
9;52;132000;Impuesto por cobrar;asset_current;asset;Sin Descripcion
10;53;141000;Pagos anticipados;asset_prepayments;asset;Sin Descripcion
11;54;151000;Activo fijo;asset_fixed;asset;Sin Descripcion
12;55;191000;Activos no corrientes;asset_non_current;asset;Sin Descripcion
13;56;201000;Pasivo circulante;liability_current;liability;Sin Descripcion
14;57;211000;Cuenta por pagar;liability_payable;liability;Sin Descripcion
15;58;211100;facturas a recibir;liability_current;liability;Sin Descripcion
16;59;251000;Impuesto Recibido;liability_current;liability;Sin Descripcion
17;60;252000;Impuesto a pagar;liability_current;liability;Sin Descripcion
18;61;291000;Pasivos no corrientes;liability_non_current;liability;Sin Descripcion
19;62;301000;Capital;equity;equity;Sin Descripcion
20;63;302000;Dividendos;equity;equity;Sin Descripcion
21;64;400000;Venta de productos;income;income;Sin Descripcion
22;65;441000;Ganancia cambiaria;income;income;Sin Descripcion
23;66;442000;Ganancia por diferencia en efectivo;income;income;Sin Descripcion
24;67;450000;Otros Ingresos;income_other;income;Sin Descripcion
25;68;500000;Costo de los bienes vendidos;expense_direct_cost;expense;Sin Descripcion
26;69;600000;Gastos;expense;expense;Sin Descripcion
27;70;611000;Compra de Equipos;expense;expense;Sin Descripcion
28;71;612000;Alquiler;expense;expense;Sin Descripcion
29;72;620000;Comisiones bancarias;expense;expense;Sin Descripcion
30;73;630000;Gastos Salariales;expense;expense;Sin Descripcion
31;74;641000;Pérdida cambiaria;expense;expense;Sin Descripcion
32;75;642000;Pérdida de diferencia de efectivo;expense;expense;Sin Descripcion
33;76;961000;Gastos de RD;expense;expense;Sin Descripcion
34;77;962000;Gastos de venta;expense;expense;Sin Descripcion
35;78;101300;Cuenta por cobrar (PoS);asset_receivable;asset;Sin Descripcion
36;79;643000;Pérdida de descuento en efectivo;expense;expense;Sin Descripcion
37;80;443000;Ganancia de descuento en efectivo;income;income;Sin Descripcion
38;81;101401;cuenta transitoria;asset_current;asset;Sin Descripcion
39;82;101402;Recibos pendientes;asset_current;asset;Sin Descripcion
40;83;101403;Pagos pendientes;asset_current;asset;Sin Descripcion
41;84;101501;Efectivo;asset_cash;asset;Sin Descripcion
42;85;101404;Banco;asset_cash;asset;Sin Descripcion
43;86;999999;Ganancias/pérdidas no distribuidas;equity_unaffected;equity;Sin Descripcion
44;87;101701;Transferencia de liquidez;asset_current;asset;Sin Descripcion
45;88;101000;Activos circulantes;asset_current;asset;Sin Descripcion
46;89;110100;Valoración de acciones;asset_current;asset;Sin Descripcion
47;90;110200;Stock provisional (recibido);asset_current;asset;Sin Descripcion
48;91;110300;Stock provisional (entregado);asset_current;asset;Sin Descripcion
49;92;121000;Cuentas por cobrar;asset_receivable;asset;Sin Descripcion
50;93;121100;Productos a recibir;asset_current;asset;Sin Descripcion
51;94;131000;Impuesto pagado;asset_current;asset;Sin Descripcion
52;95;132000;Impuesto por cobrar;asset_current;asset;Sin Descripcion
53;96;141000;Pagos anticipados;asset_prepayments;asset;Sin Descripcion
54;97;151000;Activo fijo;asset_fixed;asset;Sin Descripcion
55;98;191000;Activos no corrientes;asset_non_current;asset;Sin Descripcion
56;99;201000;Pasivo circulante;liability_current;liability;Sin Descripcion
57;100;211000;Cuenta por pagar;liability_payable;liability;Sin Descripcion
58;101;211100;facturas a recibir;liability_current;liability;Sin Descripcion
59;102;251000;Impuesto Recibido;liability_current;liability;Sin Descripcion
60;103;252000;Impuesto a pagar;liability_current;liability;Sin Descripcion
61;104;291000;Pasivos no corrientes;liability_non_current;liability;Sin Descripcion
62;105;301000;Capital;equity;equity;Sin Descripcion
63;106;302000;Dividendos;equity;equity;Sin Descripcion
64;107;400000;Venta de productos;income;income;Sin Descripcion
65;108;441000;Ganancia cambiaria;income;income;Sin Descripcion
66;109;442000;Ganancia por diferencia en efectivo;income;income;Sin Descripcion
67;110;450000;Otros Ingresos;income_other;income;Sin Descripcion
68;111;500000;Costo de los bienes vendidos;expense_direct_cost;expense;Sin Descripcion
69;112;600000;Gastos;expense;expense;Sin Descripcion
70;113;611000;Compra de Equipos;expense;expense;Sin Descripcion
71;114;612000;Alquiler;expense;expense;Sin Descripcion
72;115;620000;Comisiones bancarias;expense;expense;Sin Descripcion
73;116;630000;Gastos Salariales;expense;expense;Sin Descripcion
74;117;641000;Pérdida cambiaria;expense;expense;Sin Descripcion
75;118;642000;Pérdida de diferencia de efectivo;expense;expense;Sin Descripcion
76;119;961000;Gastos de RD;expense;expense;Sin Descripcion
77;120;962000;Gastos de venta;expense;expense;Sin Descripcion
78;121;101300;Cuenta por cobrar (PoS);asset_receivable;asset;Sin Descripcion
79;122;643000;Pérdida de descuento en efectivo;expense;expense;Sin Descripcion
80;123;443000;Ganancia de descuento en efectivo;income;income;Sin Descripcion
81;124;101401;cuenta transitoria;asset_current;asset;Sin Descripcion
82;125;101402;Recibos pendientes;asset_current;asset;Sin Descripcion
83;126;101403;Pagos pendientes;asset_current;asset;Sin Descripcion
84;127;101501;Efectivo;asset_cash;asset;Sin Descripcion
85;128;101404;Banco;asset_cash;asset;Sin Descripcion
86;129;999999;Ganancias/pérdidas no distribuidas;equity_unaffected;equity;Sin Descripcion
87;130;101701;Transferencia de liquidez;asset_current;asset;Sin Descripcion
88;131;101000;Activos circulantes;asset_current;asset;Sin Descripcion
89;132;110100;Valoración de acciones;asset_current;asset;Sin Descripcion
90;133;110200;Stock provisional (recibido);asset_current;asset;Sin Descripcion
91;134;110300;Stock provisional (entregado);asset_current;asset;Sin Descripcion
92;135;121000;Cuentas por cobrar;asset_receivable;asset;Sin Descripcion
93;136;121100;Productos a recibir;asset_current;asset;Sin Descripcion
94;137;131000;Impuesto pagado;asset_current;asset;Sin Descripcion
95;138;132000;Impuesto por cobrar;asset_current;asset;Sin Descripcion
96;139;141000;Pagos anticipados;asset_prepayments;asset;Sin Descripcion
97;140;151000;Activo fijo;asset_fixed;asset;Sin Descripcion
98;141;191000;Activos no corrientes;asset_non_current;asset;Sin Descripcion
99;142;201000;Pasivo circulante;liability_current;liability;Sin Descripcion
100;143;211000;Cuenta por pagar;liability_payable;liability;Sin Descripcion
101;144;211100;facturas a recibir;liability_current;liability;Sin Descripcion
102;145;251000;Impuesto Recibido;liability_current;liability;Sin Descripcion
103;146;252000;Impuesto a pagar;liability_current;liability;Sin Descripcion
104;147;291000;Pasivos no corrientes;liability_non_current;liability;Sin Descripcion
105;148;301000;Capital;equity;equity;Sin Descripcion
106;149;302000;Dividendos;equity;equity;Sin Descripcion
